"utm10","especie"
"NC44","Genetta genetta"
"QF08","Mus spretus"
"PE52","Martes foina"
"NF28","Microtus lusitanicus"
"NC34","Talpa occidentalis"
"NG65","Canis lupus"
"MD60","Sorex granarius"
"PC11","Oryctolagus cuniculus"
"NC06","Mus spretus"
"NF72","Sus scrofa"
"PC37","Erinaceus europaeus"
"NB47","Lepus granatensis"
"PF02","Canis lupus"
"NC76","Rattus rattus"
"MD85","Oryctolagus cuniculus"
"NB25","Microtus cabrerae"
"NC54","Vulpes vulpes"
"ND46","Sciurus vulgaris"
"NC25","Sus scrofa"
"NC22","Apodemus sylvaticus"
"NF29","Vulpes vulpes"
"NE56","Crocidura russula"
"PF62","Sus scrofa"
"NC48","Lutra lutra"
"PB32","Eliomys quercinus"
"NC80","Vulpes vulpes"
"ND00","Suncus etruscus"
"PF33","Herpestes ichneumon"
"MC88","Vulpes vulpes"
"NB48","Apodemus sylvaticus"
"NC86","Vulpes vulpes"
"NE31","Capreolus capreolus"
"ND97","Sciurus vulgaris"
"QG11","Sus scrofa"
"PG83","Mus spretus"
"PF33","Martes foina"
"NC10","Arvicola sapidus"
"NE50","Vulpes vulpes"
"PF51","Oryctolagus cuniculus"
"PE46","Microtus agrestis"
"NC23","Microtus cabrerae"
"PB39","Mustela putorius"
"NE66","Meles meles"
"NB34","Apodemus sylvaticus"
"PE17","Oryctolagus cuniculus"
"PC08","Microtus cabrerae"
"NC83","Microtus lusitanicus"
"NC66","Lepus granatensis"
"NC64","Martes foina"
"NE50","Apodemus sylvaticus"
"NG54","Canis lupus"
"NF27","Apodemus sylvaticus"
"PE27","Apodemus sylvaticus"
"PE57","Meles meles"
"PE69","Genetta genetta"
"NC77","Mus musculus"
"PF79","Microtus cabrerae"
"NG23","Microtus lusitanicus"
"NF34","Mus spretus"
"PC40","Mus spretus"
"ND18","Vulpes vulpes"
"PF03","Canis lupus"
"PD61","Talpa occidentalis"
"NB27","Microtus duodecimcostatus"
"PB07","Lepus granatensis"
"NC32","Microtus cabrerae"
"NC47","Vulpes vulpes"
"ND59","Genetta genetta"
"PG20","Apodemus sylvaticus"
"NC26","Genetta genetta"
"PC62","Meles meles"
"NE96","Apodemus sylvaticus"
"ND25","Lutra lutra"
"PD17","Mus spretus"
"NF73","Martes foina"
"NC97","Oryctolagus cuniculus"
"NC63","Herpestes ichneumon"
"NA99","Mus musculus"
"NE75","Sus scrofa"
"PE65","Sciurus vulgaris"
"PD21","Oryctolagus cuniculus"
"NC43","Crocidura russula"
"PC09","Microtus cabrerae"
"NC55","Apodemus sylvaticus"
"ND61","Vulpes vulpes"
"PC45","Lepus granatensis"
"NF73","Vulpes vulpes"
"PG74","Meles meles"
"NF78","Microtus agrestis"
"NB69","Vulpes vulpes"
"NB41","Rattus rattus"
"PG11","Sorex granarius"
"NE46","Microtus agrestis"
"PB08","Oryctolagus cuniculus"
"NC86","Mus spretus"
"NC09","Microtus lusitanicus"
"NC37","Oryctolagus cuniculus"
"NE45","Mus spretus"
"PD44","Apodemus sylvaticus"
"PG90","Crocidura russula"
"NG33","Vulpes vulpes"
"NC67","Microtus cabrerae"
"NF25","Apodemus sylvaticus"
"PE42","Herpestes ichneumon"
"PC51","Crocidura russula"
"PF37","Crocidura russula"
"NC51","Martes foina"
"PF04","Martes foina"
"NF71","Apodemus sylvaticus"
"NC44","Vulpes vulpes"
"NB94","Rattus norvegicus"
"PE64","Capreolus capreolus"
"NF73","Sus scrofa"
"NC19","Sus scrofa"
"SaoMiguel","Rattus norvegicus"
"NE34","Mus spretus"
"NE65","Capreolus capreolus"
"MD93","Microtus lusitanicus"
"NC51","Lutra lutra"
"NG24","Erinaceus europaeus"
"NG52","Vulpes vulpes"
"NC25","Dama dama"
"NA99","Arvicola sapidus"
"NC35","Apodemus sylvaticus"
"NC45","Meles meles"
"NC94","Meles meles"
"NC77","Herpestes ichneumon"
"ND28","Genetta genetta"
"PF99","Apodemus sylvaticus"
"NF22","Sciurus vulgaris"
"PF19","Microtus agrestis"
"PE78","Lepus granatensis"
"NE89","Crocidura suaveolens"
"NC64","Herpestes ichneumon"
"NC76","Vulpes vulpes"
"PC52","Meles meles"
"NF35","Mus spretus"
"NC35","Genetta genetta"
"NC86","Oryctolagus cuniculus"
"PE61","Herpestes ichneumon"
"NA99","Crocidura russula"
"NC97","Genetta genetta"
"NB77","Lepus granatensis"
"PB06","Felis silvestris"
"NC45","Martes foina"
"PF63","Oryctolagus cuniculus"
"PB41","Mus spretus"
"NF93","Sus scrofa"
"NB81","Genetta genetta"
"NB82","Arvicola sapidus"
"PB24","Apodemus sylvaticus"
"NC71","Genetta genetta"
"QG10","Vulpes vulpes"
"ND65","Lutra lutra"
"NC88","Lepus granatensis"
"ND79","Microtus cabrerae"
"NB17","Oryctolagus cuniculus"
"ND01","Sus scrofa"
"NG40","Arvicola sapidus"
"NB00","Mus spretus"
"PE65","Vulpes vulpes"
"PG93","Mus spretus"
"NG83","Capreolus capreolus"
"MD73","Sciurus vulgaris"
"PG83","Apodemus sylvaticus"
