"utm10","centr_x","centr_y","especie","ordem","recente","confirmado"
"NC88",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NE77",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB50",NA,NA,"Erinaceus europaeus",NA,NA,NA
"QF19",NA,NA,"Crocidura russula",NA,NA,NA
"NC56",NA,NA,"Suncus etruscus",NA,NA,NA
"NC56",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB06",NA,NA,"Suncus etruscus",NA,NA,NA
"PC42",NA,NA,"Suncus etruscus",NA,NA,NA
"PC41",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC46",NA,NA,"Suncus etruscus",NA,NA,NA
"NB72",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB27",NA,NA,"Suncus etruscus",NA,NA,NA
"NB36",NA,NA,"Suncus etruscus",NA,NA,NA
"NA09",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB00",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB25",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB36",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB22",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB34",NA,NA,"Suncus etruscus",NA,NA,NA
"NB34",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB33",NA,NA,"Suncus etruscus",NA,NA,NA
"NB41",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB31",NA,NA,"Suncus etruscus",NA,NA,NA
"NB31",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB87",NA,NA,"Suncus etruscus",NA,NA,NA
"NB87",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC83",NA,NA,"Suncus etruscus",NA,NA,NA
"PD43",NA,NA,"Suncus etruscus",NA,NA,NA
"PD43",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC35",NA,NA,"Suncus etruscus",NA,NA,NA
"NC34",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC26",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC46",NA,NA,"Suncus etruscus",NA,NA,NA
"PC46",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD61",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE10",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF08",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NF98",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PF08",NA,NA,"Neomys anomalus",NA,NA,NA
"PF19",NA,NA,"Neomys anomalus",NA,NA,NA
"NF84",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NF84",NA,NA,"Neomys anomalus",NA,NA,NA
"NE15",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE22",NA,NA,"Sorex granarius",NA,NA,NA
"NE22",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF12",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PF12",NA,NA,"Neomys anomalus",NA,NA,NA
"PF12",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG61",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NG61",NA,NA,"Neomys anomalus",NA,NA,NA
"NE97",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NG72",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NG72",NA,NA,"Neomys anomalus",NA,NA,NA
"NE97",NA,NA,"Talpa occidentalis",NA,NA,NA
"PE07",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG64",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NG64",NA,NA,"Neomys anomalus",NA,NA,NA
"NF33",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG70",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF59",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG64",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PG64",NA,NA,"Neomys anomalus",NA,NA,NA
"PG64",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG93",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB78",NA,NA,"Lepus granatensis",NA,NA,NA
"NB68",NA,NA,"Lepus granatensis",NA,NA,NA
"PB32",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PB33",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"NC77",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"NC77",NA,NA,"Lepus granatensis",NA,NA,NA
"NC66",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PC32",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
